id,student_name,age,admission,major_id
0,김승은,20,2025,14
1,홍현우,21,2024,12
2,오하현,22,2023,7
3,황진석,24,2021,9
4,이지주,24,2021,10
5,이해수,22,2023,12
6,박사혜,21,2024,17
7,박주후,25,2020,13
8,정저진,26,2019,10
9,김재영,21,2024,9
10,강채지,22,2023,8
11,유정옹,22,2023,10
12,안수린,26,2019,14
13,한이훈,23,2022,14
14,현세연,23,2022,2
15,장횽번,20,2025,13
16,김예연,24,2021,4
17,김재숭,26,2019,8
18,이은윤,26,2019,10
19,김정준,20,2025,2
20,정지주,25,2020,15
21,남현승,24,2021,6
22,박주린,25,2020,15
23,최재헌,20,2025,17
24,이가민,23,2022,11
25,정청인,25,2020,10
26,유민민,21,2024,14
27,정경홍,20,2025,11
28,박효저,20,2025,6
29,신정훈,21,2024,6
30,강소경,20,2025,13
31,김정운,25,2020,12
32,강혜현,26,2019,8
33,이두문,20,2025,15
34,권우연,23,2022,12
35,박천석,25,2020,9
36,이도경,20,2025,6
37,추병빈,22,2023,9
38,양예수,24,2021,14
39,장주연,20,2025,13
40,황현은,20,2025,12
41,김원석,23,2022,7
42,김진빈,20,2025,10
43,양주원,21,2024,12
44,배보진,26,2019,6
45,김수영,23,2022,14
46,이지은,21,2024,14
47,신승도,21,2024,11
48,강혜나,22,2023,5
49,박성화,24,2021,14
50,이한은,21,2024,13
51,김응현,20,2025,14
52,이지연,25,2020,13
53,박민연,21,2024,14
54,권서은,22,2023,4
55,박벙연,21,2024,8
56,정지민,24,2021,8
57,김태현,20,2025,16
58,조소민,21,2024,8
59,유홍용,23,2022,8
60,박지은,21,2024,17
61,최영훈,21,2024,7
62,장유인,21,2024,12
63,최도언,21,2024,12
64,김수우,23,2022,7
65,김유준,23,2022,13
66,박은은,24,2021,12
67,이숭수,23,2022,13
68,문은주,22,2023,12
69,김은현,20,2025,17
70,정지현,24,2021,11
71,이진우,22,2023,12
72,이다진,20,2025,7
73,김겅현,21,2024,14
74,김지련,20,2025,8
75,이진원,26,2019,11
76,김은림,20,2025,7
77,최성사,25,2020,5
78,김주서,20,2025,2
79,정성사,25,2020,12
80,송은하,26,2019,13
81,정형찬,25,2020,14
82,김예서,23,2022,9
83,정예철,25,2020,15
84,임다지,22,2023,14
85,이세운,21,2024,17
86,김보안,25,2020,10
87,박민원,22,2023,6
88,김민수,23,2022,9
89,나형환,20,2025,7
90,김은희,25,2020,14
91,송기석,25,2020,1
92,김수민,23,2022,11
93,박영산,21,2024,16
94,최지연,23,2022,14
95,전형주,21,2024,6
96,이수민,25,2020,17
97,이승성,23,2022,2
98,김수서,25,2020,8
99,김연순,21,2024,10
100,김지원,26,2019,10
101,조진환,25,2020,9
102,이지영,22,2023,12
103,전경윤,22,2023,13
104,이유연,22,2023,10
105,오현송,20,2025,1
106,최주윤,24,2021,14
107,이동운,24,2021,9
108,서나안,20,2025,12
109,박원성,21,2024,8
110,김저민,21,2024,8
111,지인준,26,2019,9
112,김예연,22,2023,12
113,박승관,25,2020,1
114,오차현,22,2023,14
115,김재석,24,2021,6
116,이지원,23,2022,15
117,인유이,24,2021,14
118,김지원,24,2021,11
119,양형규,21,2024,13
120,유소은,25,2020,3
121,김황민,22,2023,14
